subject,min_grade,max_grade,overview,objectives_outcomes,comment
Reading & Writing,5,5,"Use the Alliteration for Kids worksheet to introduce students to the content or review their prior knowledge.
Have students identify the alliteration in each of the sentences on the worksheet.
Allow volunteers to share their answers.
Tell students that alliteration is the repetition of consonant sounds at the beginning of words.
Tell students that metaphors are analogies that compare two unlike things without using 'like' or 'as.'
Have students identify the two things being compared and explain how they are similar.
Explain to students that in this lesson they will identify alliteration in various texts and create alliteration of their own.",Students will be able to identify alliteration in text.,
Math,5,5,"Display the cover slide, and let students know that today's lesson will be about multiplication methods.
Go to slide 2. Challenge students to solve the multi-digit multiplication problem on the slide (225 x 12) in as many ways as they can. Give students 5–7 minutes to work on this task, and remind them to provide a written explanation for each method they use.
Allow each student to share his responses with a partner.
Have a few volunteers share their methods with the class. They may show their work on the board if needed. (Don't reveal the answer to the problem just yet—students will revisit it later at the end of the lesson.)
Let students know that today's lesson will teach them at least three different ways to solve this equation.","Students will be able to multiply multi-digit whole numbers using the standard, partial product, and array model methods.",
Reading & Writing,5,5,"Write the word checklist on the board and ask your students to turn to an elbow partner and tell them all the different uses we have for checklists.
Have your students share out what they said or heard from a partner while you write ideas down in a brainstorm fashion.
Explain that checklists allow us to evaluate things based on a set of features.
Inform students that they will be learning how to use checklists to evaluate facts, opinions and their related ideas.","Students will be able to evaluate texts for facts, opinions and related ideas using context clues.",
Reading & Writing,5,5,"Ask two student volunteers to act out a conversation where they both discuss how they feel they were wronged in a specific incident (i.e. shortchanged, minor car accident, or ignored in line by a clerk).
Allow the pair two minutes to prepare for their presentation. While they’re away, tell your class they are about to witness a personal narrative in the drama sub-genre.
Explain to students that the scenario they will see is a type of storytelling with a particular trait of interpersonal conflict. Ask your students to be on the lookout for expressions of conflict, shared perspectives, and differences in perspective.
Call the actors in, and watch the performance until it’s clear what the conflict is about and how each person has a clearly different view of the situation.
Start the review process by asking your class the the following questions:
What's the genre (fiction)?
What's the sub-genre (drama)?
What triat or characteristic from the sub-genre will you witness (interpersonal conflict)?
What do you need to focus on while you watch the performance (similar and different expressions of conflict)?
Share out details of student observations after the performance.
Tell your students they are going to learn to compare and contrast fiction texts in a common sub-genre, through features specific to the sub-genre.",Students will be able to compare and contrast stories within a fiction sub-genre.,
Reading & Writing,5,5,"Recruit two student volunteers to demonstrate a reading fluency procedure: one person will be the reader and the other will be a timer.
On your signal, have the reader begin reading the passage aloud and the timer will call 'time' at 30 seconds, signaling for the reader to stop. The class will listen closely for which word the reader ends on.
After 'time' is called, evaluate the number of words the reader covered in 30 seconds and multiply that number by two. Announce that this is the reader’s words-per-minute score. Note there is no credit for words skipped in the reading!
Announce to your students that during this lesson, they will practice reading a passage with a partner to find out their own fluency score. Fluency is the term we use to describe reader clarity, pacing, and intonation. This is the opposite of no fluency: choppy, slow, monotone.
Demonstrate to your students strong and weak fluency by reading 2-3 sentences using the appropriate affect.",Students will be able to practice their reading fluency and comprehension with repeated readings and summary updates.,
Math,5,5,"Write '219.536' on the board.
Have students read the decimal out loud in proper form (two hundred nineteen and five hundred thirty-six).
Give students tips on saying it properly and correct any misconceptions about pronunciation.
Repeat if needed with a different decimal.
Pose this question: What is the place value of the digit 9?
Have students pair up and discuss it with their partners. Encourage them to think deeply about the question.
Have a few students share their ideas, and discuss it as a whole group.
Explain that the value is one and the digit tells us there are nine of them.
Ask students to think about the fractional equivalents of 0.1, 0.01, and 0.001. (1/10, 1/100, 1/1000).
Explain that today, they will write in expanded form using fractions.",Students will be able to write decimals in expanded form.,
Reading & Writing,5,5,"Write the word ‘trustworthy’ on the board and tell your students you want their advice on something.
Share with them several details about one of the most trustworthy people you know, (I.e. “I have this friend who…”)
Ask your class what adjective comes to mind that might best fit the person you’ve just described, (expect students to say, trustworthy!)
Have your students turn and tell a neighbor what they remember from your description, that supports ‘trustworthy’ as an appropriate adjective to describe your person. Explain that what they (your students) have effectively done is:
Identified author’s perspective by inferring and stating I believe my friend was trustworthy
Cited details that support my belief
Note that the objective of the following lesson is to teach them how to infer author’s perspective in a nonfiction text and cite quotes as proof.",Students will be able to infer author’s perspective and cite quotes as evidence to support their claim.,
Reading & Writing,5,5,"Invite students to sit in a circle.
Distribute an individual whiteboard and whiteboard marker to each student.
Walk around the circle and ask each student to pull out one word card.
Challenge the students to use that word in a sentence, writing it on their individual whiteboard.","Students will spell challenging words such as homophones and irregular plurals.
Students will use digital and print resources, consulting references to spell words.Students will spell challenging words such as homophones and irregular plurals.Students will use digital and print resources, consulting references to spell words.",
Reading & Writing,5,5,"Ask your students for a volunteer for a brief demonstration of arm strength.
Have the student hold either hand straight out in front of them (preferably over a desk or table), where you will place one book at a time to see how many they can hold.
Place one book after another on their hand until they fall on the table and ask your class: What happened in terms of cause and effect?
Clarify: “Because the books were too heavy, the effect was that the books fell.”
Share that today’s lesson has to do with cause, effect, and fiction books! Explain that cause and effect are events where one (cause) precedes the other (effect).","Students will be able to describe and illustrate instances of cause and effect from the beginning, middle, and ending of their fiction readings.",
Reading & Writing,5,5,"Invite each student to take a word card out of a brown paper bag.
Tell the students that their task is to find their group by looking for students that have similar words.
Give the students a few minutes to mingle around the room and form groups.
Ask each group to share the words that they grouped together.
As each group shares, write the words on the board.
Tell the students that they will be learning how to find separate words in sentences that can be condensed to form single words. These types of words are hyphenated compound words and contractions.","Students will be able to identify words that can be used to form hyphenated words and contractions.
Students will be able to combine words to form hyphenated words and contractions.Students will be able to identify words that can be used to form hyphenated words and contractions.Students will be able to combine words to form hyphenated words and contractions.",
Reading & Writing,5,5,"Tell the students that sometimes we can make an analogy between ideas or words. When we do this, we use what we know to make connections between words that are less familiar.
Explain that today we’re going to be learning about prefixes and making connections between words that are similar. We will also be learning how to construct words using prefixes as well as deconstruct words with prefixes to determine the meaning.","Students will be able to construct and deconstruct words with prefixes.
Students will be able to determine the meaning of words using a combination of word parts.Students will be able to construct and deconstruct words with prefixes.Students will be able to determine the meaning of words using a combination of word parts.",
Math,5,5,"Show your class a picture of apples and oranges (there should be a different amount of each) and ask, 'How many pieces of fruit are there?'
After allowing for student responses and confirming the correct amount, ask the class, 'How many apples are there?' Allow time for student responses.
Pose the question, 'If there are __ pieces of fruit, and apples are fruit, how come there are different amounts of fruit and apples?'
Discuss and confirm that although apples are fruit, oranges are also fruit - but because they are different kinds of fruit, they can’t be added all together as one.
Write the following colloquialism on the board, 'It’s like comparing apples to oranges.' Explain what this figure of speech means, 'Although items may belong to the same category, added levels of specificity exist such that items may not be further compared.'
Point out how in the same way, we can’t add mixed numbers with unlike fractions. Even though mixed contain whole numbers, there is an added layer of specificity in the denominators such that unlike fractions can’t be compared.
Tell your students that today’s lesson will teach a strategy to solve word problems that include mixed numbers with unlike fractions.",Students will be able to apply the Three-Reads strategy when solving word problems involving addition and subtraction for unlike mixed numbers.,
Math,5,5,"Have one student stand at a corner of the room, another student stand in the middle of a wall (half way between corners) and hand one of them a marker.
Set the scene, 'This will be a relay, a task where the activity is divided between’ participants. Everyone stand behind the starting student with the marker.'
Tell the student holding the marker, 'When you give the signal, to travel along the wall and hand off the marker to the next student, who will travel along the perimeter and hand the marker to you.'
When everyone is clear on the instructions, announce the signal like 'Go!'
Upon receiving the marker, ask your class, “How many walls did each student travel with the marker?” (Before it got to you, in a four-walled room, the answer should include two mixed numbers. Any combination like 1 1/2 + 2 1/2.)
Then ask your class, 'How many walls did both students travel, all together?' The answer, for a typical four-walled room, will be four.
Highlight with your students how the relay was a demonstration of a sum of two mixed numbers (i.e 1 1/2 + 2 1/2) which is what today’s lesson will be about.",Students will be able to solve addition word problems that include mixed number fractions with unlike denominators.,
Math,5,5,"Show your students the following problem 37.5 ÷ 102.
Have your students brainstorm any details they understand about the expression and note their answers on a chart paper.
Read the learning objective aloud to the class.",Students will divide decimal numbers by powers of 10 and explain decimal placement patterns in the quotient.Students will divide decimal numbers by powers of 10 and explain decimal placement patterns in the quotient.,
Reading & Writing,5,5,"Distribute a pad of sticky notes to each student and display a picture advertisement that uses a play on words (i.e. a pun).
Ask students to write down any thoughts that come to mind about the advertisement and the meaning. Have them turn and talk to their partners to share their ideas. Then, have students place the sticky notes next to the advertisement.
Explain that the advertisement uses a pun to get people talking about the product and to deliver a message in a clever way. Tell them today they'll learn about how to find the meaning in visual puns.",Students will be able to interpret and sketch visual puns with idioms or common phrases.,
Reading & Writing,5,5,"Write 'What is the Declaration of Independence?' on the board.
Show students an image of the document (see related media).
Provide a brief overview explaining what the document is and why it is important.
It is a document that was written and signed in 1776 that declared America's independence from England and established the 13 colonies as an independent nation, the United States of America.
Colonial Americans wanted freedom from England because they were being treated badly by the king of England, King George III.
The Declaration of Independence establishes the principles of freedom, including the idea that all people are created equal and are born with certain rights.
It states that the purpose of the government is to protect people's rights and citizens should have the right to change the government if leaders are not protecting those rights.
A large part of the document is a list of grievances, or problems, that the colonists have with the king, like unfair taxes. The authors included these complaints as a way to convince other colonists that there was a reason to go to war with England.
Explain that the Declaration of Independence contains a lot of language that is hard to understand. But today we will be looking at sections of the document and analyzing the language used so that we can better understand what it says.",Students will be able to define and paraphrase key vocabulary terms in the Declaration of Independence.,
Reading & Writing,5,5,"Write the names of two characters from two different fiction stories on the board. Tip: select characters that all students are familiar with such as characters from recent read-alouds, literature circles, etc.
Ask students to think about some of the ways in which we can compare and contrast these two characters (e.g., physical traits, interests, personality traits, etc.).
Discuss some of the similarities and differences between these two characters.
Tell students that today we will listen to two stories and compare and contrast characters from each story.",Students will be able to compare and contrast two characters from two different fiction texts.,
Reading & Writing,5,5,"Review the basic parts of a sentence: the subject (the person, place, or thing that is doing something) and the predicate (the part of the sentence containing a verb, which states something about the subject).
Remind students that all sentences will have these two parts. The most simple sentences have just a subject and a verb (i.e. Dogs bark.) Write the example sentence on the board to reference later.
Explain that today we are going to learn how to draw a diagram that shows us the basic parts of a sentence.",Students will be able to diagram simple sentences that include prepositional phrases.,
Math,5,5,"Introduce the lesson with a fraction match game. Distribute one card per student and have each student illustrate what their fraction represents on the rectangle provided.
Have the students mingle around the room and find a partner or group with an equivalent fraction. (If there will be duplicate cards, tell the students that only one type of fraction can be in each group.)
Once students have returned to their seats, tell the students that they will be learning how to use fractional parts on a line plot to solve problems. Different fractions will be combined to find the answers to the problems.",Students will be able to create a line plot that includes fractions of a unit to help them solve problems.,
Reading & Writing,5,5,"Ask the class: What kind of work do you think you might want to do when you get older? What kind of impact do you want to have? Facilitate a brief discussion, sharing student ideas in small groups or as a class.
Explain that just as we have jobs that can impact our community, words have jobs that impact a sentence and ideas.","Students will be able to name and use articles, prepositions, adverbs, and superlative adjectives.",
Reading & Writing,5,5,"Write the following transition words and phrases on the board: before, now, after, afterwards, later, earlier, while, after a while, as soon as, before, earlier, immediately, lately, since, then, until, when.
Instruct students to turn to a classmate and tell a story. It can be something that they actually experienced or something made-up. There is only one rule: They can’t use any of the words on the board.
When done, discuss as a class. Ask, 'How did it go? What was challenging about it? Why?'",Students will be able to identify transition words.,
English Learner,5,5,"Hand index cards to each student and pair them as A and B partners.
Assign the A partners to draw a pen and B partners to draw a pencil.
Collect all the cards and redistribute them. Have your students compare and contrast features of the items and share their thoughts with an elbow partner.
Call on students to share what they said or heard to the whole class.
Explain that although the items are of the same type, they have different designs and may be better suited for different uses. Likewise, today's lesson compares nonfiction books on the same topic, by their text features. Nonfiction text features are distinctive traits commonly found in nonfiction texts.",Students will be able to compare and contrast two nonfiction references on the same topic by reviewing their text features.,
Reading & Writing,5,5,"Recruit two student volunteers to come to the front of the room and hold up the run-on sentence strip.
Read it as a class.
Conduct a think-pair-share about this sentence. What do students notice?
Share out student thoughts. Students should notice that the sentence doesn’t really make sense, or that it reads awkwardly, as if something is missing.","Students will be able to identify clauses and use conjunctions to combine them into more complex sentences.
Students will be able to repair run-on sentences using conjunctions.Students will be able to identify clauses and use conjunctions to combine them into more complex sentences.Students will be able to identify clauses and use conjunctions to combine them into more complex sentences.Students will be able to repair run-on sentences using conjunctions.Students will be able to repair run-on sentences using conjunctions.",
Reading & Writing,5,5,"Divide your students into four groups by assigning each of them one of the following statements:
Wizards
Some wizards are good and some are diabolical.
A boy wizard goes off to a school in a magical realm.
Diabolical wizards will often stop at nothing to acquire absolute power.
Tell your class that these statements fall into two categories: topic (a subject or idea), or a theme (an author’s opinion about a subject or topic). Split the room into two sides and have the students go to the side where they think they belong.
Discuss where students went and why. Clarify proper sides of the room that students/statements should be on.
Share that today’s lesson requires this ability to identify topic and theme. Your students then may return to their seats.",Students will be able to analyze fiction across similar topics and themes.,
Reading & Writing,5,5,"Draw a circle on the board with the word 'big' inside. This is the start of a word web.
In blue, draw a line out from the center circle and write the word 'large.'
Ask students to call out other words that have a similar meaning to the word 'big.' Branch out from the center circle, and write their answers in blue.
Remind students that words that have similar meanings are called synonyms. Write the definition on the board in blue.
In red, draw a line out from the center circle and write the word 'small.'
Ask students to call out other words with meanings that are opposite of 'big.' Branch out from the center circle and write their answers in red.
Remind students that words with opposite meanings are called antonyms. Write the definition on the board in red.",Students will be able to generate synonyms and antonyms for target words.,
Reading & Writing,5,5,"Display a piece of chart paper that is divided into two columns. In the first column, write the title 'verbs' and make a list of verbs in their infinitive form. Include both regular and irregular verbs on the list. (Note: you may prepare this list prior to the lesson. See suggested resources for a sample list.)
Point to the first verb on the list and have students turn and tell a partner the past tense form of the verb (i.e. paint/painted).
Call on a student to share the answer and record the past tense form in the second column of the chart, which can be titled 'past tense.'
Repeat for each of the verbs on the list, until the second column is filled in.
Support students as needed during this activity.
Tell students that today they will be reviewing irregular verbs.",Students will be able to recognize and form the past tense of irregular verbs.,
Reading & Writing,5,5,"Read a book aloud that contains action verbs, like Cows Can't Jump by David Reisman.
Ask students to call out the action verbs they heard in the story (i.e., 'jump,' 'swing,' 'slither').
Record the action verbs on a piece of chart paper. Keep the chart paper displayed.",Students will be able to visualize and identify action verbs.,
Reading & Writing,5,5,"Show students a few pictures of people doing actions, like running, jumping, and kicking (or draw simple pictures of actions on the board).
Ask students to suggest verbs as labels for each picture (i.e., run, jump, kick). Support students as needed to ensure the labels are action verbs and record their answers below each picture.
Explain that these verbs are all examples of action verbs which are verbs that express a physical (or sometimes mental) action.
Tell students that today they will be differentiating between action verbs and non-action verbs.",Students will be able to differentiate between action verbs and stative verbs.,
Reading & Writing,5,5,"Show students an unfamiliar image for 10 seconds, like Norman Rockwell's At the Vet's. Then hide the image and ask students to tell you about what they saw. Call on several students to share and urge them to share as many details as they can recall. Prompt them with additional questions, like 'How many dogs were in the waiting room?'
Show the same image again, but for a longer period of time (about one minute). Hide the image and again call on students to share what they saw.
Ask students to reflect on the experience of recalling details with the following questions:
'What did you notice the first time you looked at the image?'
'How did it feel to look at it again a second time?'
'What would happen if you looked at it again?'
Explain that this exercise was much like reading. When we read a text one time, we get a big picture, but we don't notice all the details. When we read something more than one time, we begin to notice more about the text.
Tell students that today they will practicing a skill called close reading, which is a strategy that allows readers to develop a deep understanding of a text by rereading, making notes, and analyzing details and patterns.
Explain that they will be reading a text three times, with a specific focus each time they read. In addition, they will be making notes as they read using annotation symbols which will help them mark important words and ideas they want to remember.",Students will be able to use the close reading strategy to understand a text more deeply.,
Reading & Writing,5,5,"Make an inference about a student in your class based on an observation (e.g., 'I think Jake is feeling cold because he has his sweater on.').
Explain that, even though the student did not tell you they were cold, you made an inference based on what you could see and your own personal experiences with being cold.
Tell students that people make inferences in the real world, like the one you made. However, it is also a skill that readers use to understand a story or text.
Introduce the objective for the lesson in student-friendly terms (e.g., 'Today we will be making inferences about fictional stories.').",Students will be able to make an inference with evidence.,
Math,5,5,"Display the example problem from the Word Problem Solving Template: Read-Draw-Write (RDW) worksheet. Distribute sticky notes to each student and ask them to write on their sticky note observations that they have about the strategy used to solve the problem.
Ask students to share with their partner some of the observations they have (e.g., they are drawing pictures to prove their answers, they are writing their answer in a sentence, they solved their answer under the drawing, etc.).
Explain that while this word problem is easier than what they will solve in the lesson, they will use the same strategy or process to solve their own word problems today.",Students will be able to solve mixed operation word problems using the RDW strategy.,
Math,5,5,"Display a simple multiplication chart with no coloring or notations.
Conduct a whole-class discussion on which factors are easiest to estimate products (e.g., 2, 5, 10, 100, etc.) Highlight multiples and circle related factors on the multiplication chart so they can visually think about patterns they see in the chart. Students should understand that factors follow a pattern and that some numbers are easier to compute or estimate products.
Tell students that today they'll use their understanding of factors and their multiples to use the partial quotients method to solve division problems.",Students will be able to divide using the partial quotients method.,
Math,5,5,"Display a visual of a location with a sketch of a rectangle to show a portion of the location. Make sure it's a familiar location for your students (e.g., a gymnasium, tennis court, etc.). Add two-digit whole numbers for the dimensions. (Tip: you can take pictures of familiar locations to the students, project them on the board, and then write out dimensions.)
Ask students to calculate the area of the rectangle on their whiteboards. Tell them to share their answers with their elbow partners when they are finished.
Call on students to share their calculations. Choose a student to show their method for calculating the area of the rectangle.
Explain to students that while the examples involved dimensions with whole numbers, they will find the area of locations with dimensions that are fractions or decimals by using the using the area equation.",Students will be able to find the area of rectangular shapes with one fractional dimension using the area equation.,
Reading & Writing,5,5,"Hook students with a funny pun (e.g., 'What did one half of the fruit say to the other half? We make a perfect pair!').
Draw a visual to illustrate the meaning (i.e., two halves of a pear holding hands).
Ask students to explain what makes this joke funny and support them in understanding that the words 'pair' and 'pear' are homophones.",Students will be able to identify homophones and homographs in the context of puns.,
Math,5,5,"Draw a simple part-whole model on the board with only numbers listed and an equation frame with blanks underneath the drawing.
Ask students to think for 30 seconds about what the drawing represents and how they might complete the equation. Tell them to use their whiteboards to write or draw some of their ideas. Then, have them share their answers with their elbow partners.
Call on volunteers to share their ideas aloud and write them on the side of the board to consider later. Gather background knowledge on their knowledge of division within part-whole models through their whiteboard responses and peer conversations.
Choose a student to read a student-friendly learning objective: 'I can solve division word problems using the part-whole model strategy.'",Students will be able to solve division word problems using the part-whole model strategy.,
Math,5,5,"Write ⅘ − ⅕ on the board and ask students to solve for the problem on their whiteboards using whatever method they choose.
Have students share their answers with their elbow partner. Gather their background knowledge by asking them questions about the numerator, denominator, and how they got their answer.
Ask for a volunteer to come to the board and solve the problem using a number line, area model, or simply subtracting one-fifth from four-fifths.
Tell students that today they'll build on their understanding of subtracting fractions with like denominators to subtract fractions with unlike denominators.",Students will be able to subtract fractions with unlike denominators.,
Reading & Writing,5,5,"Use 'Visual Thinking Strategies' to examine an image that tells a story (see related media).
Show the image on a large screen and give students a few minutes to look at it quietly. (Note: do not give students context prior to this activity.)
Then ask:
What is going on here?
What do you see that makes you say that?
What else do you notice?
Give several students the chance to share observations they have in response to each question. Prompt students with the three questions, but do not validate any observations as correct or incorrect.
Explain to students that when they use clues from the picture and their own background knowledge to figure out what is going on, it is called an inference.
Tell students that an inference is different than a guess because, in order to make an inference, you must use evidence to come to a reasonable conclusion.
Explain that today we will be making inferences in fictional texts.",Students will be able to make inferences using evidence and background knowledge.,
Reading & Writing,5,5,"Write two sentences on the board as examples of the infinitive and past tense forms of a regular verb (i.e., 'I will watch a movie. I watched a movie.').
Underline the verbs in each sentence and ask students to turn to a partner and discuss the differences they see between the two verbs.
Write two more sentences with regular verbs (i.e., 'Today I will bake some cookies. Yesterday I baked cookies.').
Again, underline the verbs and have students turn to talk with a partner to compare these verbs with the ones in the first set of sentences.
Ask students to think about how the verbs changed (the suffix -ed/-d was added in the second sentence of each set) and why they changed (because the second sentence in each example was written in past tense). Call on students to share their answers.
Write another set of sentences on the board, this time using an irregular verb (i.e., 'I can throw a ball. I already threw a ball.').
Underline the verbs and ask students to share what they notice about them.
Guide students towards the observation that the verbs in the third set of sentences did not follow the same rules and pattern as the first two sets of verbs.
Explain that today we will be reviewing some common irregular verbs, like 'throw' and 'threw.'",Students will be able to identify and use the past and past participle forms of irregular verbs.,
Reading & Writing,5,5,"Write the word inference on the board and ask students to talk with a seat partner about what the word means.
Call on several students to share their definitions of the word. Then record a student-friendly definition on the board (e.g., a conclusion you come to based on clues in a text and your own reasoning). Remind students that an inference is something that is not explicitly stated, but has evidence to support it.
Explain that today students will be making inferences while reading nonfiction texts. Remind students that a nonfiction text is a book or article that give facts about a topic.
Ask students to share examples of nonfiction texts (e.g., textbooks, magazines, online articles, informational books).",Students will be able to make inferences based on evidence when reading nonfiction texts.,
Reading & Writing,5,5,"Tell students that today they will be learning about homographs.
Remind students that homographs are words that are spelled the same but have different meanings. Homographs may be pronounced the same (these are called homonyms) or pronounced differently (heteronyms).
Point out that the word 'homograph' is made up of the root word 'graph' which means 'to write' and the prefix 'homo' which means 'same.' Thus, the word is literally translated as 'to write the same.'",Students will be able to understand multiple meanings of common homographs.,
Reading & Writing,5,5,"Explain that parts of speech are different types of words that we use in English. There are eight parts of speech: nouns, verbs, prepositions, adjectives, adverbs, pronouns, conjunctions, and interjections.
Show your students a short video about the eight parts of speech (see related media).
After the video, have your students 'turn and talk' with an elbow partner to see how many of the eight parts of speech they can name.",Students will be able to identify and use the eight parts of speech in the context of a sentence.,
Reading & Writing,5,5,"On the board, draw a picture of three people ranging in height from short to tall.
Label the three people with the words 'tall, taller, tallest.'
Ask students to identify the suffixes in the words you wrote on the board (-er and -est).
Underline the suffixes -er and -est in the words 'taller' and 'tallest.'
Remind students that suffixes, like these, are groups of letters that are added to the ends of words to change their meaning.
Tell students that today they will learn about the suffixes -er and -est.",Students will be able to form comparative and superlative adjectives using the suffixes -er and -est.erest,
Reading & Writing,5,5,"Display a piece of chart paper and divide it into two columns.
Label one column 'facts' and the other 'opinions.'
Choose a topic that your students are familiar with, like dogs.
Ask students to share facts they know about dogs (i.e., dogs are omnivores, there are many different breeds of dogs). Prompt students as needed with questions like, 'What do dogs eat?' or 'What is something that is true for all dogs?'
Invite students to share their personal opinions about dogs (i.e., dogs are cute; dogs are the best pet). Prompt students with questions like, 'What do you think about dogs?' or 'How do dogs make you feel?'
Explain that today we will be looking for facts and opinions in nonfiction texts.",Students will be able to differentiate between statements of fact and opinion.,
Reading & Writing,5,5,Show students a short video with examples of idioms (see related media).,Students will be able to determine the figurative meaning of an idiom using text and visuals as context.,
Reading & Writing,5,5,"Display a piece of chart paper with the question, 'How can we respond to literature?' written in the center in large print. Read the question aloud.
Underline the words 'respond to literature' and remind students that the word respond means to reply or interact with, and literature means a fictional text or story. Restate the question in student-friendly terms (e.g., 'How can we write or talk about stories?').
Ask students to think about ways that they respond to literature. Write their responses around the question on the chart paper to create a 'brain dump.' Use this exercise to gauge background knowledge. Support students by suggesting ideas if needed (e.g., answering questions about characters or setting, making predictions, writing a summary). Keep the brain dump displayed to use later in the lesson.
Tell students that today they will be using specific types of questions and prompts to respond to literature.",Students will be able to write a response to literature in more than one way.,
Math,5,5,"Display the rectangle at the top of the page from the worksheet An Introduction to Area. Ask students to brainstorm with partners about the area of the rectangle and what might represent that size in real life (e.g., piece of paper, picture book, etc.).
Allow partners to share their answers, making sure to write the answers or equations on the board.
Write the key terms on the board and ask students to use the terms in their explanations if possible.",Students will be able to create area models and decompose the factor on one side of a rectangle.,
Reading & Writing,5,5,"Display a piece of chart paper and divide it into three equal horizontal sections or rows. (Note: this chart can be prepared before the lesson.)
In the top section, write a simple sentence and read it aloud (i.e., 'The smart kids read books every night.').
In the second section, write a compound sentence and read it aloud. (i.e., 'The kids read books every night and then they go to bed.')
In the bottom section, write a complex sentence and read it aloud (i.e., 'The kids read books at night before going to bed.').
Explain that each of these sentences gives similar information, but they are structured differently.
Tell students that today they will be learning about three sentence structures.",Students will be able to differentiate between three different sentence structures.,
Reading & Writing,5,5,"Show a video to review action verbs (verbs that express an action), such as the video 'Verb Song.'",Students will be able to identify action verbs in context. Students will be able to use action verbs in their own writing.,
Reading & Writing,5,5,"Ask students to explain what an adjective is (i.e., adjectives are words that describe nouns).
Write the words 'a,' 'an,' and 'the' on the board.
Tell students that these three words are special adjectives called articles.
Explain that they are different than other adjectives because they tell whether a noun is a specific object or an undefined object.","Students will be able to identify and use the articles 'a,' 'an,' and 'the' correctly in the context of a sentence.",
Reading & Writing,5,5,"Tell students that today they will be learning about homophones.
Remind students that homophones are words that sound the same, but have different spellings and meanings.
Label a piece of chart paper with the heading 'homophones' and write the definition below the heading.
Write a couple of examples of homophones on the chart paper, like 'your'/'you're' and 'beet'/'beat'.
Ask students to volunteer other examples of homophones and record their answers on the chart paper.
Keep the student-generated list displayed throughout the lesson and add to it as new examples arise.",Students will be able to identify homophones and choose the correct homophone to use in a sentence.,
Reading & Writing,5,5,"Show students a video that gives an overview of the electoral college and its role in the voting process. Like 'What is the U.S. electoral college and how does it work?' by News Direct.
Explain to students that today we will be learning about how voting works in the United States of America.",Students will be able to understand how the electoral college works. Students will be able to write about their opinion using evidence.,
Reading & Writing,5,5,"Show students a blank map of the United States and explain that our country did not always look the way it does today.
Explain that prior to the 1800s, the United States extended between the Atlantic Ocean and the Mississippi River. The country consisted of 16 states, including the original 13 colonies, and various territories that would later become states.
Draw a blue line to show where the Mississippi River is and shade in the portion of the map to the right of it in green (do not shade Florida; see related media for a map showing the region to shade). Label the shaded area 'United States before the 1800s.'
Tell students that today we are going to learn about some of the events and people that were involved in expanding the United States westward, helping to make the country what it is today.",Students will be able to write an informational paragraph about westward expansion using a timeline and informational text as resources.,
Reading & Writing,5,5,"Tell students that today we are going to analyze author's craft. Explain to students that author's craft is a set of decisions made by the author that make their writing look or sound a certain way.
Inform students that different examples of author's craft include figurative language such as similes, metaphors, onomatopoeia, and alliteration.
Write the following sentence on the board: 'The blue bug bit a big black bear.'
Call on a volunteer to identify which type of craft the author is using in this sentence.
Guide students to understand that this is an example of alliteration, which is the repetition of beginning consonant sounds in a group of closely connected words.
Tell students that today we are going to analyze alliteration.",Students will be able to identify texts containing alliteration.,
Reading & Writing,5,5,"Tell students that today they will be comparing a primary source and a secondary source on the same topic.
Ask students to think about what they know or what they can predict about primary and secondary sources. Give them a moment to talk with a seat partner. Encourage students to think about the words 'primary' and 'secondary' during their discussion.
Call on students to share background knowledge and predictions.",Students will be able to identify features of primary and secondary sources.,
Reading & Writing,5,5,"Write the acronym 'FANBOYS' on the board in large letters.
Instruct students to take out a notebook and draw a quick sketch or comic based on the word on the board. (Note: this is a memory technique that will help students remember the acronym by connecting it with an image.)
Tell students that the word FANBOYS is actually an acronym to help them remember the coordinating conjunctions 'for,' 'and,' 'nor,' 'but,' 'or,' 'yet,' 'so.' Write each conjunction under the coordinating letter in the acronym.
Remind students that conjunctions are 'joining words' that help connect phrases or sentences.
Provide an example of a conjunction in context like, 'I want to go swimming so I can practice the backstroke.' Circle the conjunction in the example.
Explain that today we will use conjunctions to write compound sentences.",Students will be able to use coordinating conjunctions to write compound sentences.,
Reading & Writing,5,5,"Do a brain dump to get your students thinking about some key vocabulary:
Write the word 'complex' on the board and ask students to share words or thoughts that they think of when they see the word (i.e., difficult, many parts). Guide students to make a connection with other subject areas in which they've encountered the word (i.e., complex figures in math).
Repeat the process with the words 'independent' and 'dependent.'
Explain that today we will be learning how to write complex sentences and these are some of the key words we'll need to understand in today's lesson.",Students will be able to identify the independent and dependent clause in a complex sentence.,
